name,units,price,source
Amistar,L,90,
Aviator Xpro,L,54.5,SAGIT
Aviatoir Xpro, L, 54.5, https://grdc.com.au/resources-and-publications/grdc-update-papers/tab-content/grdc-update-papers/2021/02/was-canola-fungicide-investment-justified-in-low-and-medium-rainfall-environments-in-2020
BS1000, L, 6.8, https://shop.northwestag.com.au/products/bs1000-bio-degradable-surfactant-nufarm
Carbendazim,kg,9.85,SAGIT
Echo900,kg,25,
Epoxiconazole 500, L, 35, ESTIMATE using Epoxiconazole 125 as base ($22/L)
Flutriafol 500,L,39,SAGIT
Flutriafol,L,39,SAGIT
Mancozeb,kg,8.83,SAGIT
Miravis Star,L,130,
Orius 430,L,40,
Prosaro,L,74.5,SAGIT
Propiconazole, L, 30, Estimated from https://specialistsales.com.au/shop/turf-domestic/fungicides-turf-domestic/procon-250ec-fungicide-propiconazole
Radial,L,68,
Radial Opti,L,68,
Soprano 125, L, 133.60, calculated from application rates and indicative cost per hectare at
TazerXpert,L,14.5,SAGIT
Veritas Opti, L, 32.80, CHECK
